,tweet,labels
2399,alexalltimelow jackalltimelow pleas stay safe guy love much hoe one day meet guy happi halloween ,Neither hate speech nor offensive language
2400,alexdunlapnfl bdoeklbj evil son bitch deserv everyth that come,Offensive language
2401,alexschnid niiic nigga schinder pullin hoe,Offensive language
2402,alexadelsant bad bitch wonder manner go,Offensive language
2403,alexadelsant karma bitch,Offensive language
2404,alexisdiamond bitch stop fuck playin know wtf im talkin,Offensive language
2405,niggah lie ,Offensive language
2406,alfieheydrich seen pic nig rob store caption saidprotest gos fergerson lol dont like pig either wtf,Offensive language
2407,alfieheydrich live south lot pop live rhode island hard nigger,Hate speech
2408,basic like background music fag,Hate speech
2409,hoe trash,Offensive language
2410,alissawashere trippin bitch ,Offensive language
2411,alleyesonki real rap fuck bitch lay day that realli disrespect like bitch u couldnt feel throw ,Offensive language
2412,allfucksgiven like hoe gettin dick day tonight gettin,Offensive language
2413,alliebrun stop mean bitch ,Offensive language
2414,alliebrun main bitch,Offensive language
2415,allielexilov like dark light carmel white red tan yellow blue purpl green doesnt matter color,Neither hate speech nor offensive language
2416,alludraai rememb keep skirt dark color camouflag pan dimension gore,Neither hate speech nor offensive language
2417,almightyvinni richhomiemeezi hoe hous  toni spot mf,Offensive language
2418,almightywoo said got workout pussi,Offensive language
2419,alysiarianh cambreezi dont call buddi cambron retard man smh that rude,Offensive language
2420,ampowerblog least agre whine like littl bitch someon threw phone absolut hilari,Offensive language
2421,ampowerblog haha say littl bitch let someon take phone real man wouldnt let happen littl bitch would,Offensive language
2422,ampowerblog man pussi coward overpow easili took clear much less man,Offensive language
2423,ampowerblog incess whine like worthless littl bitch funniest thing happen weekend man,Offensive language
2424,amandabyn yea alway look niceal monkey face women see around santa monica look better natur beauti dontbedumb,Offensive language
2425,amandashow bet good pussi,Offensive language
2426,amazinmixbeauti dont feel like read right wanna give sexi cooli girl lyric via text messag ,Neither hate speech nor offensive language
2427,amazinmixbeauti wanna gimm babi look coolieit might could work lol,Neither hate speech nor offensive language
2428,im trash,Neither hate speech nor offensive language
2429,americaanti your dismiss bitch mood fucktard morn block ,Offensive language
2430,americanmirror praedor cop bitch slap wanna b st thug got tm got dead see dont slap cop r law,Offensive language
2431,americanwhitehm hate nigger,Hate speech
2432,americanwhitehm nigger disgust dealt year ago wouldnt problem,Hate speech
2433,americanpy bitch would rather fuck poster damn that cold,Offensive language
2434,amireldouh ali hoe,Offensive language
2435,amizzyy lol hoe number,Offensive language
2436,amoranjel right  come  wait anoth month  naaaawwwww could pimpin hoe lol,Offensive language
2437,amosporr congrat amo ,Neither hate speech nor offensive language
2438,anuglynigga retard,Hate speech
2439,anastasiapacana stfu think ugli hard look get fuck chat faggot block oct th,Offensive language
2440,andreberto cant wait ped roid munch faggot,Hate speech
2441,andreaaolvera prego bitch,Offensive language
2442,andreaaolvera shut fuck hoe ass bitch fuck squirtin ass cunt hoe,Offensive language
2443,andreaaolvera smd bitch,Offensive language
2444,tommyrussel homo ass cracker,Hate speech
2445,would got dat new monopoli wit da cardsil hold n see hoe let nigga swipe credit,Offensive language
2446,andrewtaran that nice color combo love blue yellow,Neither hate speech nor offensive language
2447,andyherren aarynelizagri cri babi bitch,Offensive language
2448,andyheybro distant chug end dri remain perfect heavi guitar ever record,Neither hate speech nor offensive language
2449,anellesofia didnt call bitch saiddd bitch jeesh,Offensive language
2450,anellesofia spook shit,Offensive language
2451,aint nobodi offend u fuckin peckerwood despis good white ungrat honkey,Offensive language
2452,angrywillhelm genius polit correct term would intellectu disabl high offens use word retard,Neither hate speech nor offensive language
2453,fight ur choic game faggot see happen,Hate speech
2454,anitafarid angjli lmao side ho get real action anyway ,Offensive language
2455,principl ghetto elementari school doubt finger ,Offensive language
2456,turntol tweenki wrong nigger alway causung mischief among ur peopl,Hate speech
2457,anotherpotheadd lucki monkey,Neither hate speech nor offensive language
2458,antdgk se chainskibum would faggot surviv tj,Offensive language
2459,anthonycumia total correct anthoni livin round dem color folk day bringin da hood dem properi valu,Hate speech
2460,anthonycumia cokelog hey antoni speak color good,Neither hate speech nor offensive language
2461,anthonycumia enjoy itim happi youbut hate yankeesand yes sox choke,Neither hate speech nor offensive language
2462,anthonycumia dont bitch power goe like last time,Offensive language
2463,anthonycumia pussi,Offensive language
2464,antiheroko bitch foh,Offensive language
2465,antoniofrench go kill cracker amp new black panther credibilityshot fergusonriot mikebrown,Hate speech
2466,antssneweath well got see pompom pete,Neither hate speech nor offensive language
2467,apevontarskin smdh anoth bitch,Offensive language
2468,apevontarskin fuck u ugli ass bitch,Offensive language
2469,appleciderpapi ogbeard godievel nah u fag,Offensive language
2470,marcospatula invit fag,Offensive language
2471,class nig,Offensive language
2472,arbogucci guy suppos get ass suck queer,Hate speech
2473,everybodi mock obama hes embarrass usa,Neither hate speech nor offensive language
2474,arcticn yeah bitch aint shit tho,Offensive language
2475,areohhbe bitch see bitch good luck,Offensive language
2476,areohhbe bitch join fuck armi us around bitch like fuck rob go fuckin armi,Offensive language
2477,aritweetz lol na bitch like crazi good ,Offensive language
2478,arianagrand bitch cumwiththewind,Offensive language
2479,ariestheog cut bitch,Offensive language
2480,arlisdonotchil oo where bitch wit sammich,Offensive language
2481,artalegaspar bitch got flameee,Offensive language
2482,artbylecardin ami deeiigge world see faggot jungl bunni fuck one got pregnant,Offensive language
2483,artbylecardin deeiigge ami note im dis bitch,Offensive language
2484,articulateaura bitch dont know wanna play basketbal look sexi bro,Offensive language
2485,articulateaura bro know cant comment stupid shit like thatbitch instagram heart attack plate,Offensive language
2486,aryanliv welcom movement anyon get even minor public queer fed jew well accord internet,Hate speech
2487,asaptwelvyy bruh bruh bitch aint loyal ,Offensive language
2488,asaptwelvyy hoe,Offensive language
2489,ashlynohma wtf dmd bitch,Offensive language
2490,astroscounti jeff luhnow blame astro blow red sox yanke hc,Neither hate speech nor offensive language
2491,asvprvchel kitttyjpg nah im forreal yall pussi smell like dri crusti fish gut,Offensive language
2492,asvprvchel kitttyjpg nah bitch stank,Offensive language
2493,atblackfac mrmooncricket uncleunco bobbybotsod fuckthemallcop ape fuck u broke ass racist,Hate speech
2494,atblackfac mrmooncricket uncleunco bobbybotsod fuckthemallcop fuck u bitch,Offensive language
2495,rt elleszczepanski hoe aint loyal ,Offensive language
2496,auroramwj marylmcaffri bbanim mutat genealog convolut basic zebra gene currieri slaughteredextinct,Neither hate speech nor offensive language
2497,either way school trash ,Neither hate speech nor offensive language
2498,pussi ass schedul,Offensive language
2499,like talk faggot nice way fag,Hate speech
2500,answer snapchat faggot butthurt,Hate speech
2501,go sleep faggot,Offensive language
2502,one keep faggot,Offensive language
2503,wait see fuck cunt ass ,Offensive language
2504,austinthaintern johnni footbal trash man trash lol,Neither hate speech nor offensive language
2505,autyaut miss eat speak miss red bone cook ,Neither hate speech nor offensive language
2506,autyaut bitch add,Offensive language
2507,averycash dallyjackson coaldaddi youtub could die call mom bitch lmao,Offensive language
2508,reckless bruh go like bitch thoe lol final match,Offensive language
2509,reckless lmao omm see bitch tryna act like aint feel ahaha,Offensive language
2510,reckless lol match earli ic champion bitch realli would go ham,Offensive language
2511,ppl piss basic say suffer tourch tht bitch,Offensive language
2512,awwyeahmaddi your bitch though,Offensive language
2513,aydontjudgem come stop bitch caus im bout get,Offensive language
2514,aymrcart nigga pussi shit,Offensive language
2515,aydren caus your sexi bitch,Offensive language
2516,ayefuckwoodi liter eat asshol live actual faggot seem littl confus,Hate speech
2517,ayymartt bitch,Offensive language
2518,bamitsjustmari bitch moan tear,Offensive language
2519,zachranc arianagrand ohgtgtgtgtgt that bald bitchltltltltltltlt,Offensive language
2520,bbcandic joygrenad u cant talk without talk ur cunt mama im thru talk,Offensive language
2521,ur faggot teammat hit someon late like u say hes yap yell u guy def room,Hate speech
2522,bgrambo man shut yo bord ass  want hoe  cdfu stay fuckjng wid mann,Offensive language
2523,bhdragon hes fuck trash,Offensive language
2524,biackiechan theuncurv tonedagawd curtdatnigga lmfaoooo that fag shit man,Offensive language
2525,blholla dick pussi precious give ruin bullshit done,Offensive language
2526,blueyupp finger throb pussi slowli cum ur face,Offensive language
2527,bmsthadcastl account incred retard,Offensive language
2528,bnightengal feinsandnydn time ranger scout head watch yanke prospect ranger,Neither hate speech nor offensive language
2529,bossbitchdaphn ,Offensive language
2530,bridiffer bishhhhhh waasup bitch,Offensive language
2531,bridiffer good dnt sucker sad mad bitch,Offensive language
2532,bukpsychodrama follow vice lord dat rns listen nigga sinc magic almighti hoe,Offensive language
2533,bunnydahoney lt got hoe,Offensive language
2534,ud that meant toward dad gf shes bitch dude,Offensive language
2535,quit bein littl bitch b,Offensive language
2536,babyxshad hoe twerk heavi,Offensive language
2537,baconparadox two year old oreo,Neither hate speech nor offensive language
2538,badassja fuck school bore ghetto,Offensive language
2539,badbitchamen joeanoaireign put bitch ,Offensive language
2540,bakarit bitch,Offensive language
2541,ballbagstev hoe brossmh,Offensive language
2542,im otp bitch hold,Offensive language
2543,ballardtheg get nigguh street,Offensive language
2544,bamndeymouth grindin cuzz that shit dont stop wat good witcha thou bitch mia,Offensive language
2545,bamndeymouth alreadi know ima keep trillahappi bday lha bitch love yu nigga,Offensive language
2546,bangxbroz right pussi,Offensive language
2547,barackobama marchforinnov send damn beaner back belong n us aint,Hate speech
2548,barackobama michelleobama omfg elitist bitch one care think go fuck china anyway,Offensive language
2549,barackobama biden winner last night yea right like charli sheen realli winner win lol,Neither hate speech nor offensive language
2550,barackobama glad brought kid home fuck face ucmj dont care taliban pussi realli,Offensive language
2551,barackobama l vote support u u pull rug us nation wors cuz circl trash,Neither hate speech nor offensive language
2552,barackobama make weed legal pussi know smoke shit,Offensive language
2553,thirtybirdi wow white peopl cracker guess one u,Offensive language
2554,barbienixon moment silenc bitch chang name everyday ,Offensive language
2555,fcb cblaze oddbeast cracker jack shut fuck,Hate speech
2556,fcb gonna shut shit bitch u get yo punk ass hoe ass nigga,Offensive language
2557,fcb oh realli that word u wanna see bout dont wanna hear u gonna want see bitch,Offensive language
2558,fcb u lame bitch get fuck gay shit,Offensive language
2559,fcb wigga wigga wigga wigga wigga,Offensive language
2560,barnabyedward dear daili mail misogynist pile twat ,Offensive language
2561,barneyfranken jennykutn salon salon chuck full butthurt liber retard,Offensive language
2562,basedboybob nigga said woke bed fulla bitch aint een fuckin idc shit bout x harder,Offensive language
2563,basedsaiyan grandpa better comeback hes dead faggot go outsid let go littl ass dick minut,Offensive language
2564,basketballp whoever made twitter doesnt like laker r make comeback accnt still continu trash talk em,Neither hate speech nor offensive language
2565,beamil dumb bitch stfu,Offensive language
2566,beanrozay im tokyo get higher jet kill dog ass hoe send em vet produc tnkthemonstah,Offensive language
2567,beattyjustin kyoppcoalit bitch gonna women,Offensive language
2568,beattyjustin kyoppcoalit one proud hillbilli,Neither hate speech nor offensive language
2569,beattyjustin kyoppcoalit obama bitch,Offensive language
2570,beautifulcallen nigger lol thts offens lol xmas iit coupl drink fine ninja xmas lol,Offensive language
2571,beaviscumia jimmysdongdat cat gonna scratch dat color boy gonna end da chow mein,Neither hate speech nor offensive language
2572,beekayn ala profici neither skill limit pointless stat memor  trash talk,Neither hate speech nor offensive language
2573,beenbasedb nigga think mick foley ,Offensive language
2574,beenslimm dont want one new bitch morph super playa see world,Offensive language
2575,bekysawy boat hoe,Offensive language
2576,buhrowaustin well look like ill buy two big bitch box busch na ,Offensive language
2577,bengybenfrank niggah follow back ,Offensive language
2578,bennybalboa lmfaoo yu stupid lha bitch know yrs never hoeever,Offensive language
2579,bennybalboa yall thou yalll fuck glad bag trash,Offensive language
2580,bennybalboa tell boy hoe call,Offensive language
2581,bennybalboa yall fuck trash boyi gladbagflow,Offensive language
2582,betodavidthoma jessecanon bitch mom didnt call,Offensive language
2583,betodavidthoma jessecanon lmfaooo oh well fuck bitch,Offensive language
2584,bettinavla ts senwarren shes anoth straightup conscienceless liar soulless crimin trash,Neither hate speech nor offensive language
2585,beyondtomcat youd like wouldnt fag,Hate speech
2586,beyondfat bitch bruhhh ,Offensive language
2587,bidenshairplug look like fag time line bore zzzzzz,Hate speech
2588,bigcatcook deserv victori await orang armi disgrac collegehoop ill back next time hoosier,Neither hate speech nor offensive language
2589,bad hes faggot,Offensive language
2590,bigdaddysnip far asf nigguh,Offensive language
2591,biglovemus bruh wont happen cuz see big bitch strike,Offensive language
2592,bigquinnliam get volcano yet faggot,Offensive language
2593,ot prolli got bomb pussi lol hope haha,Offensive language
2594,bitch,Offensive language
2595,happi birthday dirti littl bird tear ,Neither hate speech nor offensive language
2596,bigfinehorsee gone eat bitch,Offensive language
2597,billperiman post bet would gone ape shit kill attack muslim,Offensive language
2598,billperiman offgridsurviv holi fuck hell go epa overzeal cunt cant wait ,Offensive language
2599,billperiman like put look race color glass ,Neither hate speech nor offensive language
2600,billperiman send fuck muzzi home doj come get motherfuck,Offensive language
2601,billratchet vottomanempir place pussi stach let pussi take ride,Offensive language
2602,billionairecrow neelahrel what wrong white race fuckin coon slay piec poop pleas die alon,Hate speech
2603,billythathird dimiartal aye da fawk ginzo fawk queen fawk nassau,Offensive language
2604,billythathird mattsliwinski copi tweet ginzo,Neither hate speech nor offensive language
2605,let record song bitch right nowb,Offensive language
2606,bitchimf lol retard,Offensive language
2607,bitchimastunna veshaacoutur lmao bitch shut,Offensive language
2608,bitchmedia what bitch shout momz cali keep doin u loveit,Offensive language
2609,bitcheslovestar one mari friend like bitch dont exist ,Offensive language
2610,bitchslovemosa bitch realli love mosa though mosagang ,Offensive language
2611,bitterchick dare one bag dat folk suckin come yo partayyyi da ofay wantin ride eldorato,Neither hate speech nor offensive language
2612,bitterchick dat mean get fuck hoe thinkin,Offensive language
2613,bitterchick hellobaphomet yall crazi white bitch want lay wit bowf,Offensive language
2614,bittytang sure think women self hate therfor collect women bitch becom campaign men follow,Offensive language
2615,bittytang yes protest sexism go right home beg guy beat pussi im lost time,Offensive language
2616,bjwalkinriv bro hoe live,Offensive language
2617,blacclabell nice avi lil nigger,Offensive language
2618,blackmanusa chrislhay well that cracker jack secret servic work jfk anyon,Neither hate speech nor offensive language
2619,blackmanusa texasdivepro histor point cracker term irish settl wood midatlant hard offens,Neither hate speech nor offensive language
2620,blackmanusa your killin man conserv racist like nbp hate honki,Offensive language
2621,chill cuz youll regret bro hit hoe rn quit,Offensive language
2622,blackberrytrol blah peopl determin think condescend bitch loss,Offensive language
2623,tide ha bitch im pickin beach babe left n right west coast ,Offensive language
2624,tide bandana orian call trailer trash wear lil countri getup ,Neither hate speech nor offensive language
2625,tide lmfao go bed whitey ,Hate speech
2626,chicken fri steak boy mash potato gravi green bean corn ice cream browni,Neither hate speech nor offensive language
2627,rollin coal bitch readi blow readi set go,Offensive language
2628,thank hun haha,Neither hate speech nor offensive language
2629,daltonryann bitch got crew hype still got ass beat tonight brought us,Offensive language
2630,alway eatin good wit niggah good lookin cd boy got heat bump banger,Offensive language
2631,fosho niggah il real busi late,Offensive language
2632,yeah niggah play good lowkey want brazil win,Offensive language
2633,blizzylc ur tour come kick ya nig mia,Offensive language
2634,bloggerbox jacob joshua pick similar love faggot ruslan well accountsg,Offensive language
2635,bloggerbox rianscalia pass foster faggot,Hate speech
2636,bloggerbox yeawhat maidana made greedi faggot loser atleast broner black,Hate speech
2637,bloodofjupit yeahbitch,Offensive language
2638,bluedreammn expectomichaela serious first convers status fb messag call fag lololol,Offensive language
2639,boazziz promis stand muzzi,Neither hate speech nor offensive language
2640,bobbybotsod fuckthemallcop uncleunco mrmooncricket fuck bitch,Offensive language
2641,bobbybotsod fuckthemallcop uncleunco mrmooncricket ur weird racist bitch,Offensive language
2642,bobbybotsod mrmooncricket fuckthemallcop uncleunco u eat inbr trailer trash,Offensive language
2643,bobbyrose let hoe tell man,Offensive language
2644,bodybymalon lesson dont pass like lil bitch,Offensive language
2645,bojieasx slap taco tht hoe face ,Offensive language
2646,bolanddrumm never life coffe shop like starbuck hick though,Neither hate speech nor offensive language
2647,bombfantasyyi angelamastr lmao angela look like damn potato bitch keep talkin,Offensive language
2648,bombfantasyyi pearl jam yellow ledbettergt,Neither hate speech nor offensive language
2649,there reason yanke dont want anderson longer,Neither hate speech nor offensive language
2650,tuna tccgrouchi mrsmet llmajer aplmom frogtox kishkaandpipik ive shot go yellow smoke,Neither hate speech nor offensive language
2651,boobah awnser phone pussi,Offensive language
2652,boobah trash,Neither hate speech nor offensive language
2653,bookoutbj that ghetto super duper current generat best complement,Neither hate speech nor offensive language
2654,borgor pull panti ur teeth write alphabet w ur tongu throb pussi,Offensive language
2655,bosleyxavi trip acid bitch,Offensive language
2656,soundsgoodbro bloggerbox yea u stupid faggot im leav till like pm want ride,Hate speech
2657,bossmell never follow ignor monkey,Hate speech
2658,bossmancarl lmaooo naw nigga imma stay right mention hoe,Offensive language
2659,bossmancarl nigga didnt changeyal hoe tryna shoot know yall cant shoot,Offensive language
2660,bossmancarl wake ass hoe,Offensive language
2661,braxxxedel fight shit say your free lunch must game fuck caus your color like rest,Offensive language
2662,real that shit gon death hoesion like,Offensive language
2663,brandnewandrew lmaooo rooster hot trash bro u know,Offensive language
2664,brandinicole get degre first bitch,Offensive language
2665,branninwgl ill say ya woman want couch plain sight outchea bitch simpl,Offensive language
2666,branninwgl describ new pussi like baltimor love thing bitch,Offensive language
2667,braveconwarrior bitch  mess bos fault,Offensive language
2668,mariaobregong citizen said maria spic,Hate speech
2669,breadtruckkbri know play hoe start tho,Offensive language
2670,breeolson nasti nigger whore,Hate speech
2671,breesindacut got hoe yet,Offensive language
2672,breezypetey least went wasnt bitch,Offensive language
2673,brelston realiz one link awaken kill two bird one stone unless your get wind fish,Neither hate speech nor offensive language
2674,brenjjgmom hweldon wellhow yanke year run wtfiswrongwithnebraska,Neither hate speech nor offensive language
2675,brendagisselca im mexican enough real beaner yet mexican american beaner ,Offensive language
2676,brendagisselca got hoe damn,Offensive language
2677,brendagisselca hell perk hoe bullshit,Offensive language
2678,brendanschaub timtebow ugh tebow your offici fag follow,Offensive language
2679,brenddan said bullshit damn nigger,Hate speech
2680,brenddan wow comin back bitch nigga,Hate speech
2681,bretvondehl comloweri beat bitch seriouslywhat bitch,Offensive language
2682,bretvondehl damn bitch never answer anymor lmao jk ili anyway glad first show safe go next one,Offensive language
2683,bretvondehl younow fuck bitch shit load hate first broadcast,Offensive language
2684,brianarasha id like rape bitch post,Hate speech
2685,briannalovesa trick wait bird get close pipe tap screen never hit head,Neither hate speech nor offensive language
2686,pvvrivierenland ja moest van plisi niet meteen wild gaan denkenjuistjawillen wel meer mensen mij vertellen hoe k moet denken,Neither hate speech nor offensive language
2687,fuck faggot,Hate speech
2688,briscoefunnyguy kaeejon gotta see hoe person caus im sleep hoe,Offensive language
2689,briscoefunnyguy kaeejon da fuck hoe look sad,Offensive language
2690,briscoefunnyguy lol still lil bitch,Offensive language
2691,brizgotti new nigga hipster hypebeast love faggot ass bright color nike keep give want smh,Hate speech
2692,broadwaymensa hoe women like center attent,Offensive language
2693,brocktonbitch nigga like fuckin roach let one hot dam infest crazi bitch dig yo ass,Offensive language
2694,brodywaynelyl kid pussi got white trash kid amp thugnasti wanna ,Offensive language
2695,brotherdiabeat take queer ass dubstep,Offensive language
2696,brutalbrandi pacer amp member love hair dog came quadraphon stereo could say bitchlol,Offensive language
2697,bryanbalsamo lmao u aint savag hoe everybodi,Offensive language
2698,bryanstar atl bvb sws ptv relaps symphoni set farewel love mayday parad fob paramor etc,Neither hate speech nor offensive language
2699,se gunna laff chavarubio beaner support min,Neither hate speech nor offensive language
2700,se darealalexinla didnt spoil anyth amp watch nigger nig nog,Offensive language
2701,se lexxxrug ivanrabago kike want charg dollaz complet version ,Neither hate speech nor offensive language
2702,se letsarguebox sand nigger ran kidd,Hate speech
2703,se dont like sand nigger entertain like knockdown,Hate speech
2704,se joe cortez ultim faggot fight prove,Hate speech
2705,se rememb fat bitch steal kfc bucket amp haul ass,Offensive language
2706,se us beaner piss like robert jew ref stop,Hate speech
2707,se post bid tell nig use jab,Offensive language
2708,se true sand nigger amp bum brit claim hes atg hall fame legend smh,Hate speech
2709,bretvondehl brandonkilexxx tylergloyd waitwaitwait new one epson bitch lucki ,Offensive language
2710,bullskickass ive decid bullsnat retard love,Offensive language
2711,busterespn huhlast gamestampa balt yank lost best pitcher pleas explain logic,Neither hate speech nor offensive language
2712,busterespn sound like hold back infoyanke shill,Neither hate speech nor offensive language
2713,buymortim wiigjosh toddcalfe hooker alway complimentarywho want bitch,Offensive language
2714,bywaterg yanke empirestatebldg game win hit thursday cap great career guy st ballot hof els,Neither hate speech nor offensive language
2715,mmon ecliptik pussi,Offensive language
2716,cantista brelston henereyg eat roast potato smile till cheek sore crow sfx cape crisi supergreat,Neither hate speech nor offensive language
2717,cbsthismorn norahodonnel tx trash know troubl w aca gop gov state like laralogannew report lie anyway,Neither hate speech nor offensive language
2718,cbsthismorn charlieros norahodonnel tx trash show disgrac engag w mittromney disrespect presid,Neither hate speech nor offensive language
2719,cbsthismorn charlieros racist norahodonnel tx trash enjoy high along gop win substitut racist mittromney loss,Neither hate speech nor offensive language
2720,cbsthismorn charlieros racist norahodonnel tx trash racist wld u intvw mittromney n ask racist question itwa disrespect,Hate speech
2721,ccobey tessstepakoff isnt green one either there red yellow pic,Neither hate speech nor offensive language
2722,cdnballjunki jus wanna let know okc trash ibaka aint shit yall aint goin nowher without harden,Offensive language
2723,cdnballjunki spur bitch that team dont want problem,Offensive language
2724,charlesbarrkley hey sir hous nigger uncl tom arent grand ole mississippi rest case,Hate speech
2725,charlesbarrkley need ass whip whip mr hous nigger rememb u alway b nigger,Offensive language
2726,childishcudl cheefpolo bitch mind busi,Offensive language
2727,beechhd oh mean like start cunt jp someth noth,Offensive language
2728,cmutlr man look terrifi pictur beat treat like regular bitch,Offensive language
2729,coke mfa dont wanna spend dime wit em prolli yell money bitch,Offensive language
2730,ru realli miss know drink talk problem like basic bitch,Offensive language
2731,cryaboutitnigga waddup doe lil nicca,Offensive language
2732,csnchicago punk ass bitch bullstalk,Offensive language
2733,csvndi wanna white nigga chillin mini cooper throwin money bitch,Offensive language
2734,press start bitch ,Offensive language
2735,fuck vers trip bitch stop assum shit,Offensive language
2736,cabhotti ever said dumb mom cop amp ill track lil bitch kay bye,Offensive language
2737,nigga eat hoe lol,Offensive language
2738,da realest bitch amber,Offensive language
2739,callmejetson hoe ass nigga ,Offensive language
2740,callmebuffi sockin bitch mouf,Offensive language
2741,callmedaishaa ghetto ass pocahonta ,Offensive language
2742,callmerene bad bitch im log everybodi shit,Offensive language
2743,callmerene lilmenife wussup bitch,Offensive language
2744,callmerene bitch im mad im finna throw bitch outsid,Offensive language
2745,callmerene bitch u ,Offensive language
2746,callmerene bitch u bs fck yah ,Offensive language
2747,callmerene dam bitch,Offensive language
2748,callmerene wussup bitch,Offensive language
2749,callneeshcakey das new bae  bitch bad naw lmao,Offensive language
2750,callneeshcakey bitch aint shit,Offensive language
2751,callneeshcakey cant bitch,Offensive language
2752,callneeshcakey bitch know stfu ,Offensive language
2753,callneeshcakey  pop wop ,Neither hate speech nor offensive language
2754,callneeshcakey pop wop drop tho,Neither hate speech nor offensive language
2755,callneeshcakey lay w bitch,Offensive language
2756,callneeshcakey umm bitch hello aliv clear dobt,Offensive language
2757,callneeshcakey bitch finna get crunk eyebrow doubl papp ,Neither hate speech nor offensive language
2758,camcol dont know know name somebodi colder monkey face immigr,Offensive language
2759,camposuli fag hesgay,Hate speech
2760,candielissa twitrlesskb elissareilli elissa fake cunt,Offensive language
2761,capitolevan that saw leprechaun told burn thing,Neither hate speech nor offensive language
2762,capodaasshol alejandrobihhh hoe sing,Offensive language
2763,capodaasshol alejandrobihhh damn hoe came look mani hoe said shit jam shit,Offensive language
2764,capodaasshol alejandrobihhh lmaooo want hoe suppos hold em,Offensive language
2765,capodaasshol alejandrobihhh lmaooo nigga aint hoe think im win,Offensive language
2766,capodaasshol alejandrobihhh lmaoooo beiber get hoe wet big bro im tryna tell,Offensive language
2767,capodaasshol alejandrobihhh either bitch like put nigga aint gone hesit,Offensive language
2768,capodaasshol alejandrobihhh whatev turn hoe zro aint gone get bitch wet,Offensive language
2769,capodaasshol fuck takeoff nigga get bitch snap,Offensive language
2770,capodaasshol lol hoe yr old,Offensive language
2771,capodaasshol naw see hoe,Offensive language
2772,capodaasshol wiz warrant like bitch,Offensive language
2773,capodaasshol yea come back big rod someth hoe,Offensive language
2774,captelliott nfn bitch much,Offensive language
2775,im hollywood nig u brought twitter n bounc,Offensive language
2776,young nigga turn mr catchmeifyoucanim da field nig wedaopp fukemwebal,Offensive language
2777,real nigga tho bitch know place,Offensive language
2778,weeknd dont save hoe b idunno bout drake,Offensive language
2779,weeknd make muzik hoe b im tryna meet women talkin bout,Offensive language
2780,styl gotta get dem tweet nig,Hate speech
2781,carlafinch say im stubborn son bitch,Offensive language
2782,carlavanderwa jaymaroley amp al je syri tweet volg partisangirl maar zij komt er vandaan amp zal je preci uitleggen hoe wat,Neither hate speech nor offensive language
2783,carolinepo bitch im didnt follow hahaha,Offensive language
2784,carolinepo haha dont rememb follow ok get panni bunch cunt,Offensive language
2785,carxlito case still trash idgaf anymor,Neither hate speech nor offensive language
2786,cashhaddict damn want buy bitch shit tough,Offensive language
2787,know bro nigga seen african play guard handl hoe,Offensive language
2788,lebron brought bitch knee chill,Offensive language
2789,hoe,Offensive language
2790,catholicmomva nealdew would crippl militari ,Neither hate speech nor offensive language
2791,caymariee bitch,Offensive language
2792,caymariee bitch im come said make plan ,Offensive language
2793,caymariee bitch im talm bout like ,Offensive language
2794,caymariee bitch ion got attitud sorri hoe im shade rn,Offensive language
2795,caymariee bitch either bye ,Offensive language
2796,caymariee bitch still subtweet repli though ,Offensive language
2797,caymariee oh bitch couldnt answer mine need paccag deliv hous  fucc ,Offensive language
2798,caymariee omg bitch go sleep coincid huh  ,Offensive language
2799,cayjen didnt think knew bird couldnt tame cajuncharm,Neither hate speech nor offensive language
2800,cdashray shes wear shirt bitch,Offensive language
2801,ceallaighain oh sorri hun suck hope heal fast dancerproblem,Neither hate speech nor offensive language
2802,ceencrumpet self low black bitch,Offensive language
2803,ceeross negro pleasei got job lmao,Offensive language
2804,ceeross shoulda told yeah take home pussi lol,Offensive language
2805,bitch bye cant get,Offensive language
2806,bitch drunk nah,Offensive language
2807,almost ya fuck birthday act right niglet,Offensive language
2808,yellow fin edgewat,Neither hate speech nor offensive language
2809,yellow fin,Neither hate speech nor offensive language
2810,fvtboy jaimescudi angelsoswavey would bitch said yea never told stay,Offensive language
2811,cellnbuu ewwww nip def perfect,Neither hate speech nor offensive language
2812,thebrianmo brought first allus shes hoe chelseaelisa ,Offensive language
2813,cesarkgarcia text niggah,Offensive language
2814,bricktamland brianfantana yes want fat fat bitch wife,Offensive language
2815,chaldeancuti realli rileyaintshit killsheredon childishcudl nude trash,Neither hate speech nor offensive language
2816,fuck outta go put trash ass ink faggot ass self pussi,Hate speech
2817,stay talk defend fuckboy ass boyfriend go suck your faggot,Hate speech
2818,chancelloriv naw bryan said trash hotel stay somewher els,Neither hate speech nor offensive language
2819,chandailbailey steezeyflow hunturpl need accept fact your hipster faggot,Hate speech
2820,chandailbailey way delet tweet stanki bitch,Offensive language
2821,channnteeel pussi,Offensive language
2822,gay stfu dumb monkey,Hate speech
2823,charlesbwaffl oh cool though might browni lol,Neither hate speech nor offensive language
2824,charlesbwaffl bitch need guidanc,Offensive language
2825,revkahjc cantucimblond kacado hi charli,Neither hate speech nor offensive language
2826,hi charli great day,Neither hate speech nor offensive language
2827,charliedaniel come charli govern tri protect desert tortois atleast that barack obama say,Neither hate speech nor offensive language
2828,charlseykay homee fag,Offensive language
2829,chasebasford justinbieb bitch,Offensive language
2830,chasebasford chase god damn faggot ,Hate speech
